route_id,service_id,trip_id,shape_id
route_1,WEEK,trip_1,shape_1
route_2,WEEK,trip_2,shape_2
route_3,WEEK,trip_3,shape_3
route_4,WEEK,trip_4,shape_4
route_5,WEEK,trip_5,shape_5
route_6,WEEK,trip_6,shape_6
route_7,WEEK,trip_7,shape_7
route_8,WEEK,trip_8,shape_8
route_9,WEEK,trip_9,shape_9
route_10,WEEK,trip_10,shape_10
route_11,WEEK,trip_11,shape_11
route_12,WEEK,trip_12,shape_12
route_13,WEEK,trip_13,shape_13
route_14,WEEK,trip_14,shape_14
route_15,WEEK,trip_15,shape_15
route_16,WEEK,trip_16,shape_16
route_17,WEEK,trip_17,shape_17
route_18,WEEK,trip_18,shape_18
route_19,WEEK,trip_19,shape_19
route_20,WEEK,trip_20,shape_20
route_21,WEEK,trip_21,shape_21
route_22,WEEK,trip_22,shape_22
route_23,WEEK,trip_23,shape_23
route_24,WEEK,trip_24,shape_24
route_25,WEEK,trip_25,shape_25
route_26,WEEK,trip_26,shape_26
route_27,WEEK,trip_27,shape_27
route_28,WEEK,trip_28,shape_28
route_29,WEEK,trip_29,shape_29
route_30,WEEK,trip_30,shape_30
route_31,WEEK,trip_31,shape_31
route_32,WEEK,trip_32,shape_32
route_33,WEEK,trip_33,shape_33
route_34,WEEK,trip_34,shape_34
route_35,WEEK,trip_35,shape_35
route_36,WEEK,trip_36,shape_36
route_37,WEEK,trip_37,shape_37
route_38,WEEK,trip_38,shape_38
route_39,WEEK,trip_39,shape_39
route_40,WEEK,trip_40,shape_40
route_41,WEEK,trip_41,shape_41
route_42,WEEK,trip_42,shape_42
route_43,WEEK,trip_43,shape_43
route_44,WEEK,trip_44,shape_44
route_45,WEEK,trip_45,shape_45
route_46,WEEK,trip_46,shape_46
route_47,WEEK,trip_47,shape_47
route_48,WEEK,trip_48,shape_48
route_49,WEEK,trip_49,shape_49
route_50,WEEK,trip_50,shape_50
route_51,WEEK,trip_51,shape_51
route_52,WEEK,trip_52,shape_52
