route_name,origin,destination,distance_km
Bangkal,Peace Avenue,DLC Bldg. (McArthur Hi-way, Balscogan),1.0
Bangkal,Peace Avenue,San Antonio VII (front GSIS),2.0
Bangkal,Peace Avenue,Davao Exec. Homes (Quimpo Blvd.),3.0
Bangkal,Peace Avenue,SM City Davao,4.0
Bangkal,Peace Avenue,Philhealth Office,5.0
Bangkal,Peace Avenue,Agro School Foundation,6.0
Bangkal,Peace Avenue,Almendras Gym,7.0
Bangkal,Peace Avenue,BPI (Claveria),8.0
Bangkal,Peace Avenue,Guerrero cor. Magsaysay Ave.,9.0
Bangkal,Peace Avenue,F. Bangoy cor. Magsaysay Ave.,10.0
Bangkal,Peace Avenue,Magsaysay Ave. (Park),10.3
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),San Antonio VII (front GSIS),1.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),Davao Exec. Homes (Quimpo Blvd.),2.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),SM City Davao,3.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),Philhealth Office,4.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),Agro School Foundation,5.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),Almendras Gym,6.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),BPI (Claveria),7.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),Guerrero cor. Magsaysay Ave.,8.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),F. Bangoy cor. Magsaysay Ave.,9.0
Bangkal,DLC Bldg. (McArthur Hi-way, Balscogan),Magsaysay Ave. (Park),9.3
Bago Aplaya,Bago Aplaya,DXSS (Bangkal),1.0
Bago Aplaya,Bago Aplaya,Tahimik Avenue,2.0
Bago Aplaya,Bago Aplaya,Matina Crossing,3.0
Bago Aplaya,Bago Aplaya,ABS-CBN Junction,4.0
Bago Aplaya,Bago Aplaya,SM City Davao,5.0
Bago Aplaya,Bago Aplaya,Ecoland Terminal Crossing,6.0
Bago Aplaya,Bago Aplaya,Almendras Gym,7.0
Bago Aplaya,Bago Aplaya,Roxas Avenue,10.0
Bago Aplaya,DXSS (Bangkal),Tahimik Avenue,1.0
Bago Aplaya,DXSS (Bangkal),Matina Crossing,2.0
Bago Aplaya,DXSS (Bangkal),ABS-CBN Junction,3.0
Bago Aplaya,DXSS (Bangkal),SM City Davao,4.0
Bago Aplaya,DXSS (Bangkal),Ecoland Terminal Crossing,5.0
Bago Aplaya,DXSS (Bangkal),Almendras Gym,6.0
Bago Aplaya,DXSS (Bangkal),Roxas Avenue,9.0
Acacia-Indangan-Mahayag,Abapo Residence,Movie Homes,1.0
Acacia-Indangan-Mahayag,Abapo Residence,Jardin Residence,2.0
Acacia-Indangan-Mahayag,Abapo Residence,San Andres Chapel,3.0
Acacia-Indangan-Mahayag,Abapo Residence,Magno Farm,4.0
Acacia-Indangan-Mahayag,Abapo Residence,Dacudao Village,5.0
Acacia-Indangan-Mahayag,Abapo Residence,Pola Residence,6.0
Acacia-Indangan-Mahayag,Abapo Residence,El Dorado Farm,7.0
Acacia-Indangan-Mahayag,Abapo Residence,Country Homes,8.0
Acacia-Indangan-Mahayag,Abapo Residence,Kingdom Hall (Jehovah),9.0
Acacia-Indangan-Mahayag,Abapo Residence,Buhangin Memorial Park,10.0
Acacia-Indangan-Mahayag,Abapo Residence,Milan,11.0
Acacia-Indangan-Mahayag,Abapo Residence,Watusi St.,12.0
Acacia-Indangan-Mahayag,Abapo Residence,DLPC Bajada,13.0
Acacia-Indangan-Mahayag,Abapo Residence,Victoria Plaza,14.0
Acacia-Indangan-Mahayag,Abapo Residence,Gaisano Mall,15.0
Acacia-Indangan-Mahayag,Abapo Residence,Regina Complex,16.0
Acacia-Indangan-Mahayag,Abapo Residence,Corner San Pedro & Iñigo (Anda) Sts.,17.0
Acacia-Indangan-Mahayag,Abapo Residence,Bankerohan,18.0
Catigan,Catigan Brgy. Hall,EVN Farm,1.0
Catigan,Catigan Brgy. Hall,San Antonio VII (front GSIS),2.0
Catigan,Catigan Brgy. Hall,Davao Exec. Homes (Quimpo Blvd.),3.0
Catigan,Catigan Brgy. Hall,SM City Davao,4.0
Catigan,Catigan Brgy. Hall,Philhealth Office,5.0
Catigan,Catigan Brgy. Hall,Agro School Foundation,6.0
